date,sku,category,supplier,unit_cost,moq,order_cost,holding_cost_rate_annual,lead_time_days,demand,filled_demand,lost_sales,stockout,receipts,order_qty,inventory_level,on_order,inventory_position,rop,order_up_to,lost_sales_value,inventory_value
2024-01-01,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,49,49,0,0,0,0,701,0,701,200.0,550.0,0.0,17525.0
2024-01-02,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,59,59,0,0,0,0,642,0,642,200.0,550.0,0.0,16050.0
2024-01-03,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,46,46,0,0,0,0,596,0,596,200.0,550.0,0.0,14900.0
2024-01-04,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,58,58,0,0,0,0,538,0,538,200.0,550.0,0.0,13450.0
2024-01-05,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,50,50,0,0,0,0,488,0,488,200.0,550.0,0.0,12200.0
2024-01-06,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,60,60,0,0,0,0,428,0,428,200.0,550.0,0.0,10700.0
2024-01-07,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,56,56,0,0,0,0,372,0,372,200.0,550.0,0.0,9300.0
2024-01-08,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,55,55,0,0,0,0,317,0,317,200.0,550.0,0.0,7925.0
2024-01-09,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,54,54,0,0,0,0,263,0,263,200.0,550.0,0.0,6575.0
2024-01-10,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,54,54,0,0,0,0,209,0,209,200.0,550.0,0.0,5225.0
2024-01-11,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,47,47,0,0,0,388,162,388,550,200.0,550.0,0.0,4050.0
2024-01-12,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,70,70,0,0,0,0,92,388,480,200.0,550.0,0.0,2300.0
2024-01-13,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,49,49,0,0,0,0,43,388,431,200.0,550.0,0.0,1075.0
2024-01-14,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,46,43,3,1,0,0,0,388,388,200.0,550.0,75.0,0.0
2024-01-15,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,50,0,50,1,0,0,0,388,388,200.0,550.0,1250.0,0.0
2024-01-16,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,43,43,0,0,388,0,345,0,345,200.0,550.0,0.0,8625.0
2024-01-17,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,45,45,0,0,0,0,300,0,300,200.0,550.0,0.0,7500.0
2024-01-18,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,56,56,0,0,0,0,244,0,244,200.0,550.0,0.0,6100.0
